Market,state_code,Count_of_Market
 Curated Web ,CA,364
 Curated Web ,CO,13
 Curated Web ,CT,8
 Curated Web ,DC,8
 Curated Web ,DE,2
 Curated Web ,FL,21
 Curated Web ,GA,11
 Curated Web ,IA,1
 Curated Web ,IL,25
 Curated Web ,IN,4
 Curated Web ,KS,2
 Curated Web ,KY,2
 Curated Web ,LA,1
 Curated Web ,MA,41
 Curated Web ,MD,10
 Curated Web ,ME,2
 Curated Web ,MI,5
 Curated Web ,MN,11
 Curated Web ,MO,4
 Curated Web ,MT,1
 Curated Web ,NC,3
 Curated Web ,NE,6
 Curated Web ,NH,3
 Curated Web ,NJ,2
 Curated Web ,NV,7
 Curated Web ,NY,150
 Curated Web ,OH,12
 Curated Web ,OK,1
 Curated Web ,OR,5
 Curated Web ,PA,16
 Curated Web ,RI,2
 Curated Web ,SD,1
 Curated Web ,TN,13
 Curated Web ,TX,26
 Curated Web ,UT,10
 Curated Web ,VA,21
 Curated Web ,VT,3
 Curated Web ,WA,32
 Curated Web ,WI,8
 E-Commerce ,AL,3
 E-Commerce ,AR,6
 E-Commerce ,AZ,4
 E-Commerce ,CA,309
 E-Commerce ,CO,17
 E-Commerce ,CT,6
 E-Commerce ,DC,6
 E-Commerce ,DE,6
 E-Commerce ,FL,40
 E-Commerce ,GA,18
 E-Commerce ,HI,3
 E-Commerce ,IA,3
 E-Commerce ,ID,3
 E-Commerce ,IL,34
 E-Commerce ,IN,6
 E-Commerce ,KS,5
 E-Commerce ,KY,2
 E-Commerce ,MA,38
 E-Commerce ,MD,14
 E-Commerce ,ME,4
 E-Commerce ,MI,8
 E-Commerce ,MN,9
 E-Commerce ,MO,6
 E-Commerce ,MS,1
 E-Commerce ,NC,11
 E-Commerce ,ND,1
 E-Commerce ,NE,3
 E-Commerce ,NH,1
 E-Commerce ,NJ,10
 E-Commerce ,NM,2
 E-Commerce ,NV,6
 E-Commerce ,NY,146
 E-Commerce ,OH,19
 E-Commerce ,OK,1
 E-Commerce ,OR,15
 E-Commerce ,PA,20
 E-Commerce ,RI,5
 E-Commerce ,SC,2
 E-Commerce ,SD,1
 E-Commerce ,TN,6
 E-Commerce ,TX,29
 E-Commerce ,UT,14
 E-Commerce ,VA,8
 E-Commerce ,VT,3
 E-Commerce ,WA,35
 E-Commerce ,WI,5
 Education ,AL,1
 Education ,AR,9
 Education ,AZ,9
 Education ,CA,166
 Education ,CO,10
 Education ,CT,10
 Education ,DC,13
 Education ,DE,1
 Education ,FL,17
 Education ,GA,7
 Education ,HI,2
 Education ,IA,5
 Education ,ID,4
 Education ,IL,26
 Education ,IN,3
 Education ,KY,1
 Education ,LA,5
 Education ,MA,43
 Education ,MD,19
 Education ,ME,4
 Education ,MI,11
 Education ,MN,7
 Education ,MO,3
 Education ,MS,1
 Education ,NC,9
 Education ,ND,3
 Education ,NE,3
 Education ,NH,3
 Education ,NJ,20
 Education ,NM,1
 Education ,NV,3
 Education ,NY,82
 Education ,OH,15
 Education ,OK,1
 Education ,OR,3
 Education ,PA,21
 Education ,RI,6
 Education ,SC,6
 Education ,SD,1
 Education ,TN,8
 Education ,TX,24
 Education ,UT,9
 Education ,VA,12
 Education ,VT,2
 Education ,WA,18
 Education ,WI,5
 Education ,WY,1
 Enterprise Software ,AL,2
 Enterprise Software ,AR,2
 Enterprise Software ,AZ,11
 Enterprise Software ,CA,398
 Enterprise Software ,CO,22
 Enterprise Software ,CT,6
 Enterprise Software ,DC,5
 Enterprise Software ,DE,2
 Enterprise Software ,FL,24
 Enterprise Software ,GA,17
 Enterprise Software ,IA,2
 Enterprise Software ,ID,1
 Enterprise Software ,IL,26
 Enterprise Software ,IN,9
 Enterprise Software ,KS,3
 Enterprise Software ,KY,3
 Enterprise Software ,MA,90
 Enterprise Software ,MD,11
 Enterprise Software ,MI,5
 Enterprise Software ,MN,3
 Enterprise Software ,MO,5
 Enterprise Software ,MT,3
 Enterprise Software ,NC,8
 Enterprise Software ,NE,2
 Enterprise Software ,NH,7
 Enterprise Software ,NJ,11
 Enterprise Software ,NV,4
 Enterprise Software ,NY,72
 Enterprise Software ,OH,15
 Enterprise Software ,OR,7
 Enterprise Software ,PA,33
 Enterprise Software ,RI,5
 Enterprise Software ,SC,2
 Enterprise Software ,TN,9
 Enterprise Software ,TX,44
 Enterprise Software ,UT,14
 Enterprise Software ,VA,31
 Enterprise Software ,VT,2
