state_code,Freq
AK,16
AL,125
AR,186
AZ,391
CA,11346
CO,855
CT,358
DC,241
DE,103
FL,1171
GA,628
HI,64
IA,85
ID,65
IL,981
IN,250
KS,111
KY,135
LA,87
MA,2257
MD,568
ME,59
MI,407
MN,405
MO,270
MS,37
MT,33
NC,572
ND,20
NE,105
NH,130
NJ,645
NM,84
NV,239
NY,3537
OH,610
OK,87
OR,359
PA,908
RI,104
SC,161
SD,15
TN,459
TX,1745
UT,417
VA,663
VT,59
WA,1113
WI,220
WV,16
WY,26
